Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2022,2022-04-29,6,South,SPP RE,1,488,38287,12384317
2022,2022-04-24,4,Midwest,MRO,1,98,56564,8093764
2022,2022-04-19,1,Northeast,NPCC,1,1063,175716,119434049
2022,2022-04-19,2,Mid-Atlantic,RFC,2,836,68026,58773108
2022,2022-04-18,1,Northeast,NPCC,1,107,25096,18566817
2022,2022-04-13,2,Mid-Atlantic,SERC,2,508,44848,22232062.4
2022,2022-04-13,3,Southeast,SERC,1,710,43901,21785823
2022,2022-04-13,6,South,SERC,3,1325,63451,20737294
2022,2022-04-13,6,South,SPP RE,1,503,19259,9005790
2022,2022-04-12,6,South,SERC,1,204,17620,10935392
2022,2022-04-12,6,South,SPP RE,1,380,71218,60066869
2022,2022-04-11,0,Multiple or Unknown,WECC,1,217,30615,7455183.073
2022,2022-04-11,7,Northwest,WECC,1,1143,47873,27042814.13
2022,2022-04-04,7,Northwest,WECC,3,1033,272634,65871856.04
2022,2022-03-31,2,Mid-Atlantic,RFC,1,231,20151,6476168.84
2022,2022-03-31,2,Mid-Atlantic,SERC,1,197,5671,1866243.967
2022,2022-03-30,2,Mid-Atlantic,SERC,1,292,19421,8472756.367
2022,2022-03-30,3,Southeast,SERC,1,837,44646,37785610
2022,2022-03-30,4,Midwest,RFC,1,337,23993,7642128.77
2022,2022-03-30,6,South,SERC,2,727,65490,13213766
